index,Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
A05+A07+B03+C02,ERM 10 layers 128 nodes,4,0.8242968115531731,0.7624752368725625,0.7851172083200134,0.8417585607407669,0.7485089729892154,0.803411954371629,0.7485089729892154,0.05490298138241365,0.7924313580951463,10.0,128.0
A05+A07+B03+C02,ERM 10 layers 32 nodes,4,0.8225616864599241,0.7592450183355111,0.7805569794499444,0.8414511525591971,0.750006448394127,0.8009537092011442,0.750006448394127,0.05094726080701715,0.7907642570397407,10.0,32.0
A05+A07+B03+C02,ERM 10 layers 64 nodes,4,0.8250307635850904,0.7632393415439761,0.7814112057988626,0.8426147219897102,0.7512807296156179,0.8030740082294099,0.7512807296156179,0.051793278613791904,0.7927153525066515,10.0,64.0
A05+A07+B03+C02,ERM 20 layers 128 nodes,4,0.8246153979281656,0.7628807298710212,0.7829576580373275,0.8421328755148136,0.7499271583231699,0.8031466653378321,0.7499271583231699,0.05321950701466214,0.7925027639348995,20.0,128.0
A05+A07+B03+C02,ERM 20 layers 32 nodes,4,0.8217466137583631,0.7589368907284276,0.7809919264943073,0.841211322764899,0.7497484198723967,0.8007216884364994,0.7497484198723967,0.0509732685641025,0.7905270347236788,20.0,32.0
A05+A07+B03+C02,ERM 20 layers 64 nodes,4,0.8235538054061389,0.7617594245364899,0.7828515791307372,0.8422802127154363,0.7498628213469817,0.8026112554472006,0.7498628213469817,0.0527484341002189,0.7920615686271568,20.0,64.0
A05+A07+B03+C02,ERM 5 layers 128 nodes,4,0.8241616511923139,0.7618514791229575,0.7848197736924508,0.8419501842840192,0.7479463496981602,0.8031957720729354,0.7479463496981602,0.05524942237477515,0.7921458875979803,5.0,128.0
A05+A07+B03+C02,ERM 5 layers 32 nodes,4,0.822694917692837,0.7616229602719803,0.7828457218027003,0.8420349166529117,0.7512123089375634,0.8022996291051074,0.7512123089375634,0.051087320167543936,0.7920821650715986,5.0,32.0
A05+A07+B03+C02,ERM 5 layers 64 nodes,4,0.82475708701594,0.7631461044512886,0.7842605017970479,0.8421429391713975,0.7494197216250059,0.8035766581089184,0.7494197216250059,0.054156936483912524,0.792745270812136,5.0,64.0
A05+A07+B03+C05,ERM 10 layers 128 nodes,4,0.7675398461140535,0.7540163338194114,0.7848455728942269,0.8414220948286204,0.7959189832579788,0.7940507462000593,0.7675398461140535,0.026510900086005817,0.7887485661828582,10.0,128.0
A05+A07+B03+C05,ERM 10 layers 32 nodes,4,0.7645766578015467,0.7537456750929914,0.7832230930279955,0.84075030666627,0.7923499747918745,0.7925172623947828,0.7645766578015467,0.027940604593236173,0.7869291414761357,10.0,32.0
A05+A07+B03+C05,ERM 10 layers 64 nodes,4,0.761996151473697,0.7535418936627949,0.7836989139288437,0.8400357927339661,0.795608106333718,0.7932211766648306,0.761996151473697,0.03122502519113357,0.7869761716266039,10.0,64.0
A05+A07+B03+C05,ERM 20 layers 128 nodes,4,0.7633216604087323,0.7533397898299895,0.784344148852792,0.8405121464099533,0.7940463349101,0.7930606050007087,0.7633216604087323,0.02973894459197639,0.7871128160823134,20.0,128.0
A05+A07+B03+C05,ERM 20 layers 32 nodes,4,0.7528427351306038,0.7523275473678478,0.7806129451164933,0.8382823893684732,0.7922205696279842,0.7908608628701995,0.7528427351306038,0.03801812773959575,0.7832572373222805,20.0,32.0
A05+A07+B03+C05,ERM 20 layers 64 nodes,4,0.7619346927550548,0.7531490902318894,0.7826621374571275,0.8400456469876589,0.7946961181317856,0.7926382482021153,0.7619346927550548,0.030703555447060594,0.7864975371127032,20.0,64.0
A05+A07+B03+C05,ERM 5 layers 128 nodes,4,0.7652519206037925,0.755319164331804,0.784885890427087,0.8411592439816566,0.7945117094790406,0.7939690020548971,0.7652519206037925,0.02871708145110453,0.7882255857646762,5.0,128.0
A05+A07+B03+C05,ERM 5 layers 32 nodes,4,0.7678549806372554,0.7544050260894005,0.7833935363723405,0.8405084415895745,0.7920075112166882,0.7925786288170009,0.7678549806372554,0.024723648179745518,0.7876338991810519,5.0,32.0
A05+A07+B03+C05,ERM 5 layers 64 nodes,4,0.7626068524208941,0.7542240721705825,0.7857239956446967,0.8399928329254873,0.7946685934993537,0.79365237356003,0.7626068524208941,0.031045521139135956,0.7874432693322029,5.0,64.0
A05+A07+C02+C05,ERM 10 layers 128 nodes,4,0.8214401984113044,0.7603576633829429,0.7824707743838605,0.8193766113836718,0.7948518890722981,0.7897801313126014,0.8193766113836718,-0.029596480071070373,0.7956994273268155,10.0,128.0
A05+A07+C02+C05,ERM 10 layers 32 nodes,4,0.8192070375758478,0.7554263839416798,0.7806096120762713,0.8192232394001866,0.7914469635062573,0.786672499275014,0.8192232394001866,-0.03255074012517267,0.7931826473000486,10.0,32.0
A05+A07+C02+C05,ERM 10 layers 64 nodes,4,0.8223764690819468,0.758826039815232,0.7819500211599039,0.8168996926041363,0.7956723300745152,0.7897062150328995,0.8168996926041363,-0.027193477571236756,0.7951449105471469,10.0,64.0
A05+A07+C02+C05,ERM 20 layers 128 nodes,4,0.8199780154323347,0.7580605850682789,0.7804378747280754,0.8162764773847719,0.7946196035325395,0.7882740196903071,0.8162764773847719,-0.028002457694464966,0.7938745112292,20.0,128.0
A05+A07+C02+C05,ERM 20 layers 32 nodes,4,0.8198296706163635,0.7566988958324368,0.7802003514985005,0.8175577776687073,0.7920037419237266,0.7871831649677569,0.8175577776687073,-0.03037461270095032,0.7932580875079469,20.0,32.0
A05+A07+C02+C05,ERM 20 layers 64 nodes,4,0.8217492644257958,0.7561752759847649,0.7802475997944102,0.8173528632007867,0.7935769079597204,0.7879372620411729,0.8173528632007867,-0.02941560115961388,0.7938203822730956,20.0,64.0
A05+A07+C02+C05,ERM 5 layers 128 nodes,4,0.8208849531119877,0.7578387804152596,0.7814506288025455,0.8191742874474433,0.7935041084450039,0.7884196176936993,0.8191742874474433,-0.03075466975374399,0.794570551644448,5.0,128.0
A05+A07+C02+C05,ERM 5 layers 32 nodes,4,0.8202281537130526,0.7580127211772202,0.7805625304323727,0.8183444995924697,0.7917255815950376,0.7876322467294207,0.8183444995924697,-0.03071225286304906,0.7937746973020305,5.0,32.0
A05+A07+C02+C05,ERM 5 layers 64 nodes,4,0.8214890693656031,0.7580713894809883,0.7821587086900299,0.820348526950152,0.7932671935051648,0.7887465902604466,0.820348526950152,-0.03160193668970548,0.7950669775983876,5.0,64.0
A05+B03+C02+C05,ERM 10 layers 128 nodes,4,0.8203468237108552,0.7287651702599496,0.7842801373251784,0.8402590399038529,0.794396533426196,0.8098206335915206,0.7287651702599496,0.0810554633315711,0.7936095409252064,10.0,128.0
A05+B03+C02+C05,ERM 10 layers 32 nodes,4,0.8183371666194825,0.7301485444890831,0.7809614953469287,0.8392058798057727,0.7907014120549626,0.8073014884567866,0.7301485444890831,0.07715294396770354,0.7918708996632459,10.0,32.0
A05+B03+C02+C05,ERM 10 layers 64 nodes,4,0.819771094181051,0.729298785236686,0.7835199125135761,0.8402802511849267,0.7925265184034735,0.8090244440707568,0.729298785236686,0.07972565883407086,0.7930793123039426,10.0,64.0
