Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
ERM 10 layers 128 nodes,2,0.78395771,0.723241767,0.765000151,0.820199752,0.750449096,0.800728198,0.747130693,0.053597505,0.768569695,10,128
ERM 10 layers 128 nodes,3,0.795945763,0.742448564,0.773660188,0.829334468,0.77105826,0.800299338,0.755774614,0.044524724,0.782489448,10,128
ERM 10 layers 128 nodes,4,0.811285486,0.753426724,0.779429616,0.836600623,0.785578425,0.800348969,0.764924997,0.035423972,0.793264175,10,128
ERM 10 layers 32 nodes,2,0.778465891,0.722929738,0.764683817,0.818157638,0.749527769,0.800005122,0.744584869,0.055420253,0.76675297,10,32
ERM 10 layers 32 nodes,3,0.794312118,0.741837604,0.772794716,0.828782397,0.771892282,0.798827534,0.756568258,0.042259276,0.781923823,10,32
ERM 10 layers 32 nodes,4,0.809045074,0.75111645,0.776900488,0.836006267,0.782871538,0.797829647,0.76462123,0.033208417,0.791187964,10,32
ERM 10 layers 64 nodes,2,0.78181368,0.724643239,0.765597542,0.819640786,0.751860407,0.801424691,0.74690209,0.054522601,0.768711131,10,64
ERM 10 layers 64 nodes,3,0.795407955,0.743603239,0.773894584,0.829680007,0.772662513,0.800326703,0.757134094,0.043192609,0.78304966,10,64
ERM 10 layers 64 nodes,4,0.810338779,0.752939642,0.778384005,0.836148825,0.785749668,0.799849463,0.764163066,0.035686397,0.792712184,10,64
ERM 20 layers 128 nodes,2,0.782970326,0.720384281,0.763754177,0.819439457,0.747886228,0.799696398,0.745013891,0.054682507,0.766886894,20,128
ERM 20 layers 128 nodes,3,0.795245502,0.741881604,0.772918601,0.828971478,0.771371653,0.799651689,0.755716885,0.043934804,0.782077768,20,128
ERM 20 layers 128 nodes,4,0.80982236,0.752659332,0.778276282,0.835577619,0.785458001,0.799515605,0.763731176,0.035784428,0.792358719,20,128
ERM 20 layers 32 nodes,2,0.775774314,0.72333025,0.763967009,0.816871416,0.749633825,0.799480192,0.74353881,0.055941381,0.765915363,20,32
ERM 20 layers 32 nodes,3,0.790489773,0.741221769,0.772217938,0.827824358,0.771281599,0.798268793,0.754114528,0.044154266,0.780607087,20,32
ERM 20 layers 32 nodes,4,0.806122466,0.751163945,0.776084511,0.83497331,0.783455753,0.797603135,0.761387444,0.036215691,0.790359997,20,32
ERM 20 layers 64 nodes,2,0.780272292,0.723550322,0.764750145,0.818495014,0.749987897,0.800295265,0.74548838,0.054806884,0.767411134,20,64
ERM 20 layers 64 nodes,3,0.793636555,0.742513871,0.773743835,0.828582664,0.771957233,0.799808134,0.755504878,0.044303256,0.782086832,20,64
ERM 20 layers 64 nodes,4,0.809508985,0.752037439,0.778247307,0.835873667,0.784466709,0.798949265,0.764337045,0.03461222,0.792026821,20,64
ERM 5 layers 128 nodes,2,0.781318567,0.719599209,0.764230313,0.819245303,0.747367833,0.799364174,0.744344292,0.055019882,0.766352245,5,128
ERM 5 layers 128 nodes,3,0.795345905,0.740758777,0.773485445,0.82925527,0.771275966,0.799623438,0.755625525,0.043997913,0.782024273,5,128
ERM 5 layers 128 nodes,4,0.810267341,0.752382394,0.779766363,0.836684523,0.784961454,0.799750729,0.765059159,0.03469157,0.792812415,5,128
ERM 5 layers 32 nodes,2,0.779454225,0.723970407,0.764755205,0.817998171,0.748924369,0.800605244,0.74463063,0.055974614,0.767020475,5,32
ERM 5 layers 32 nodes,3,0.795333843,0.743348397,0.77385059,0.829344148,0.771603625,0.799503714,0.75748473,0.042018985,0.782696121,5,32
ERM 5 layers 32 nodes,4,0.81016337,0.752577894,0.778090234,0.835909886,0.783539621,0.798551774,0.766073909,0.032477866,0.792056201,5,32
ERM 5 layers 64 nodes,2,0.782423446,0.722646028,0.765092224,0.819391953,0.749838255,0.800790868,0.745936723,0.054854145,0.767878381,5,64
ERM 5 layers 64 nodes,3,0.796334656,0.743393608,0.774105627,0.829808236,0.772157093,0.800232689,0.757550577,0.042682112,0.783159844,5,64
ERM 5 layers 64 nodes,4,0.810388944,0.753395129,0.779477943,0.836496209,0.784866944,0.799910049,0.764984973,0.034925076,0.792925034,5,64
