Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
ERM 10 layers 128 nodes,2,0.7839577102521289,0.7232417673002945,0.765000151457269,0.820199751597005,0.7504490960177812,0.8007281982458122,0.7471306933776181,0.05359750486819417,0.7685696953248957,10.0,128.0
ERM 10 layers 128 nodes,3,0.7959457627464513,0.7424485636453029,0.7736601879226896,0.8293344682464678,0.7710582595363834,0.8002993379357579,0.7557746141450107,0.04452472379074709,0.782489448419459,10.0,128.0
ERM 10 layers 128 nodes,4,0.8112854861385205,0.7534267236503911,0.779429615846528,0.8366006232057441,0.7855784254103301,0.8003489692100659,0.7649249974112502,0.03542397179881568,0.7932641748503028,10.0,128.0
ERM 10 layers 32 nodes,2,0.7784658906845291,0.7229297376131045,0.7646838167761129,0.8181576377383046,0.7495277686667459,0.8000051223692844,0.7445848689134094,0.05542025345587513,0.7667529702957594,10.0,32.0
ERM 10 layers 32 nodes,3,0.7943121178337696,0.7418376040024693,0.7727947155039405,0.828782397327678,0.7718922817986541,0.7988275335500152,0.7565682579082328,0.042259275641782494,0.7819238232933023,10.0,32.0
ERM 10 layers 32 nodes,4,0.8090450743478419,0.7511164500135008,0.7769004877708303,0.8360062674948536,0.7828715382073796,0.7978296470067038,0.7646212298075911,0.03320841719911276,0.7911879635668813,10.0,32.0
ERM 10 layers 64 nodes,2,0.7818136798203831,0.7246432390159263,0.7655975415691385,0.819640786111718,0.7518604069997974,0.8014246912693349,0.7469020903260979,0.054522600943237125,0.7687111307033926,10.0,64.0
ERM 10 layers 64 nodes,3,0.7954079548092414,0.7436032386960213,0.773894584221368,0.8296800074627021,0.7726625126624873,0.8003267033235446,0.7571340939405933,0.04319260938295131,0.783049659570364,10.0,64.0
ERM 10 layers 64 nodes,4,0.8103387788899933,0.7529396419119812,0.7783840048576119,0.8361488246244155,0.7857496679191465,0.7998494630599366,0.7641630659634022,0.035686397096534345,0.7927121836406298,10.0,64.0
ERM 20 layers 128 nodes,2,0.782970325741498,0.7203842806268159,0.7637541774512574,0.8194394572656075,0.7478862280900962,0.7996963981829757,0.7450138909364413,0.05468250724653432,0.766886893835055,20.0,128.0
ERM 20 layers 128 nodes,3,0.795245501872903,0.741881604278197,0.7729186014229925,0.8289714780944678,0.7713716525751246,0.7996516892086128,0.755716885308923,0.043934803899689824,0.782077767648737,20.0,128.0
ERM 20 layers 128 nodes,4,0.8098223599059622,0.7526593323352803,0.7782762824681007,0.8355776192085177,0.7854580010175767,0.7995156046575154,0.7637311763053757,0.03578442835213971,0.7923587189870875,20.0,128.0
ERM 20 layers 32 nodes,2,0.7757743142447393,0.7233302499943827,0.763967009224777,0.8168714156336598,0.7496338248134784,0.7994801916713756,0.7435388101894287,0.055941381481946904,0.7659153627822074,20.0,32.0
ERM 20 layers 32 nodes,3,0.7904897727804997,0.7412217690445388,0.7722179380401548,0.827824357592674,0.7712815987574753,0.7982687934746626,0.7541145278956773,0.0441542655789853,0.7806070872430685,20.0,32.0
ERM 20 layers 32 nodes,4,0.8061224658293366,0.7511639452520567,0.7760845105092229,0.8349733101328828,0.7834557528373054,0.7976031351426512,0.7613874439901993,0.03621569115245185,0.7903599969121607,20.0,32.0
ERM 20 layers 64 nodes,2,0.7802722923843315,0.7235503222091425,0.7647501450117573,0.8184950144108986,0.7499878965822621,0.8002952648062955,0.7454883803286002,0.05480688447769537,0.7674111341196783,20.0,64.0
ERM 20 layers 64 nodes,3,0.7936365553515499,0.7425138711216748,0.7737438349784337,0.8285826635441316,0.7719572327756804,0.7998081339895383,0.7555048779014278,0.044303256088110504,0.7820868315542941,20.0,64.0
ERM 20 layers 64 nodes,4,0.8095089846303479,0.7520374387943539,0.7782473065849013,0.8358736665726092,0.7844667085300316,0.7989492651007447,0.764337044709265,0.03461222039147975,0.7920268210224488,20.0,64.0
ERM 5 layers 128 nodes,2,0.7813185666144541,0.719599209225148,0.7642303127852383,0.8192453033584622,0.7473678327358119,0.7993641739123118,0.7443442922981636,0.05501988161414821,0.766352244943823,5.0,128.0
ERM 5 layers 128 nodes,3,0.7953459049103948,0.7407587767287346,0.7734854452015347,0.8292552700833007,0.771275966019553,0.79962343775016,0.7556255248465189,0.04399791290364106,0.7820242725887036,5.0,128.0
ERM 5 layers 128 nodes,4,0.810267341056389,0.7523823939486148,0.7797663627032014,0.8366845225111897,0.7849614541910563,0.7997507288408603,0.7650591590470098,0.03469156979385053,0.7928124148820902,5.0,128.0
ERM 5 layers 32 nodes,2,0.7794542249494922,0.7239704070677692,0.7647552053510589,0.8179981708041582,0.7489243688295446,0.8006052435464781,0.744630629969689,0.055974613576789164,0.7670204754004046,5.0,32.0
ERM 5 layers 32 nodes,3,0.7953338432327173,0.7433483966091586,0.7738505902961279,0.8293441481556723,0.7716036247901471,0.7995037144365382,0.7574847298871044,0.04201898454943395,0.7826961206167646,5.0,32.0
ERM 5 layers 32 nodes,4,0.8101633702300041,0.7525778940268774,0.7780902341235286,0.8359098856925522,0.7835396214728801,0.7985517742245485,0.7660739086476486,0.03247786557689998,0.7920562011091684,5.0,32.0
ERM 5 layers 64 nodes,2,0.782423446253402,0.7226460279025767,0.7650922235074034,0.8193919526563752,0.7498382554107604,0.8007908680807833,0.7459367231896503,0.05485414489113287,0.7678783811461035,5.0,64.0
ERM 5 layers 64 nodes,3,0.7963346561270239,0.7433936075732193,0.7741056274266862,0.8298082358441278,0.772157092879378,0.800232688918658,0.7575505765472305,0.042682112371427536,0.7831598439700871,5.0,64.0
ERM 5 layers 64 nodes,4,0.8103889443102392,0.7533951288360521,0.779477943459286,0.836496208860149,0.784866944078919,0.7999100490174034,0.7649849734750318,0.03492507554237166,0.792925033908929,5.0,64.0
